If length was blank, it was filled in with 0
Total Length: 167446

If popularity was blank, if was filled in with 0
Popularity:    Title
88             Jeremiah Johnson
88             Blood in, Blood Out
88             Creature from Black Lake
88             French Connection, The
88             They Were Expendable
88             Terror, The
88             Great Race, The
88             Out of Africa
88             Head Office
88             Ballad of Narayama, The
88             Best of Times, The
88             Dangerous Pursuit
88             Class Act
88             Long Voyage Home, The
88             Time Machine, The
88             Fellini Satyricon
88             New Year's Day
88             Let It Ride
88             Five Corners
88             Raw Nerve
88             Swedenhielms
88             Guilty by Suspicion
88             Gonzo Presents Muppet Weird Stuff
88             Final Notice
88             Happy Birthday to Me
87             John Wayne Six Pack
87             Russkies
87             Adventures of Rex & Rinty, The
87             X, Y & Zee
87             B. A. D. Cats
87             Law & Order
87             Star Trek V: The Final Frontier
87             Superman, The Movie
87             Three Strange Loves
87             Three Days of the Condor
87             Jean de Florette
87             Choice of Arms
87             City of Joy
87             Destroyer
86             Harper
86             Secret Policeman's Other Ball, The
86             Viva Zapata!
86             Prince & the Pauper, The
86             Fozzie's Muppet Scrapbook
86             Out of the Darkness
86             Sacketts, The
86             Bliss of Mrs. Blossom, The
86             Golden Child, The
86             Libeled Lady
86             Fat Man & Little Boy
86             Twin Peaks
86             For Your Eyes Only
85             Sanshiro Sugata
85             Raven, The
85             That Lucky Touch
85             Phantom of the Ritz
85             Daphnis & Chloe
85             Man from Montana
85             Bury Me Not on the Lone Prairie
85             Man Who Shot Liberty Valance, The
85             Inserts
85             As You Desire Me
85             Party Girl
85             Magic
84             Othello
84             D-Day, The Sixth of June
84             Big Bad John
84             Kelly's Heroes
84             Taps
84             Twilight's Last Gleaming
84             My Science Project
84             Catamount Killing, The
84             Ruthless People
84             Angel & the Badman
84             Legend of the Lost
84             Love & Death
84             Crimes of the Heart
84             Dick Tracy
84             Say Goodbye Maggie Cole
84             Arrowsmith
84             Gunfight at the OK Corral
84             Surrender
84             She Wore a Yellow Ribbon
84             King of Comedy
84             Marrying Man, The
83             El Rublo de las Dos Caras
83             Overland Stage Raiders
83             A Clockwork Orange
83             Swing It, Sailor!
83             Alien
83             2001: A Space Odyssey
83             Romancing the Stone
83             What's New Pussycat
83             Dillinger
83             Back Door to Heaven
83             Ape Man, The
83             Two Women
83             Woman of Affairs
83             Places in the Heart
83             Rape of the Sabines, The
83             Sting, The
83             Monty Python & the Holy Grail
83             Getting Straight
83             Doctor at Sea
83             A New Leaf
82             Nineteen Hundred
82             Valkenvania
82             Burning Poles, Cecil Taylor in Performance
82             Penitentiary III
82             Rebel Without a Cause
82             Meet Millie
82             Aliens
82             Who's Afraid of Virginia Woolf?
82             Deer Hunter, The
82             Ugetsu Monogatari
82             Formula, The
82             Manhattan
82             Butterflies Are Free
82             Flaming Frontiers
82             Bonfire of the Vanities, The
82             Queen Christina
82             Fantasy Man
82             Slap Shot
82             Alice Doesn't Live Here Anymore
82             Woman Next Door, The
82             Duet for One
81             L. A. Story
81             Tormenta Sobre Arizona
81             Monty Python Live at the Hollywood Bowl
81             Persona
81             Reflections in a Golden Eye
81             Ryan's Daughter
81             Matewan
81             Play It Again, Sam
81             Swing Shift
81             At Play in the Fields of the Lord
81             Grand Hotel
81             Hanover Street
81             Heiress, The
81             Dersu Uzala, (The Hunter)
81             National Lampoon's Christmas Vacation
81             Day of the Locust, The
81             Contempt
81             After Hours
81             Fanny and Alexander
80             Goon Show Movie, The
80             Check Your Guns
80             A Question of Honor
80             Hammersmith Is Out
80             Cleopatra
80             War & Peace
80             Rodeo Girl
80             It Started with a Kiss
80             Her Alibi
80             Mr. Arkadin
80             New Jack City
80             Lolita
80             A Special Day
80             Angela
80             Statue, The
80             Mephisto
80             Stripped to Kill II, Live Girls
80             Cannonball Run, The
80             Husbands & Wives
80             Bobo, The
80             8 1/2
80             Scarlet Street
80             Zandalee
79             Face at the Window, The
79             A Married Man
79             Monty Python's Flying Circus, Vol 2.
79             Joe Kidd
79             Crawling Hand, The
79             Texas
79             Silence, The
79             Lassie Come Home
79             Defense of the Realm
79             Russians Are Coming, the Russians Are, The
79             Cheerleader Camp
79             Arthur
79             True Stories
79             A Touch of Class
79             Bloodsucking Pharaohs in Pittsburgh
79             Rowlf's Rhapsodies with the Muppets
79             Babette's Feast
79             Siegfried, The Nibelungenlied
79             Predator 2
79             Dead Zone, The
78             King of the Pecos
78             Return of the Lash
78             Mo' Better Blues
78             Bloodsport
78             Apache
78             Wee Willie Winkie
78             Rocky
78             Circuitry Man
78             JFK
78             Hot to Trot
78             Get Out Your Handkerchiefs
78             A Year of the Quiet Sun
78             Rain People, The
78             Lion in Winter, THe
78             Rebecca
78             Delicatessen
77             Range Feud
77             Pink Panther, The
77             Criss Cross
77             Ferry to Hong Kong
77             Until They Sail
77             Experiment in Terror
77             Asphalt Jungle, The
77             El Guerrero Solitario
77             Madonna, Justify My Love
77             Superman IV: The Quest for Peace
77             Adventures of Smilin' Jack, The
77             Salvador
77             True Grit
77             Dangerous Liaisons
77             Never on Tuesday
77             Goldfinger
76             Keeper of the Flame
76             Romulus & the Sabines
76             Blood on the Sun
76             Posse
76             A Day in October
76             Marathon
76             In Country
76             Black Sunday
76             Reds
76             Salome's Last Dance
76             Rooster Cogburn
76             Horse Soldiers, The
76             Stealing Home
76             Absence of Malice
76             Cyrano de Bergerac
76             Lodger (Story of the London Fog)
75             Randy Rides Alone
75             Magic Christian, The
75             Alone in the Dark
75             Burn!
75             Closely Watched Trains
75             Sara Dane
75             American Autobahn
75             Wild Party, The
75             Crash & Burn
75             Dodesukaden
75             Defending Your Life
75             Another You
75             Pretty in Pink
75             Julia
75             Wild Times
75             Getting Physical
75             Jamaica Inn
75             Man Who Haunted Himself, The
75             Unsettled Land
75             Madonna Live, The Virgin Tour
75             RAD
75             A Streetcar Named Desire
75             Sea of Grass, The
75             Buffet Froid
75             Roma
75             Battle of Midway, The
75             Best Defense
75             Appointment with Death
74             Kagemusha
74             Hell Comes to Frogtown
74             Mystic Pizza
74             Raintree County
74             Sabotage
74             Kriemhild's Revenge, The Nibelungenlied
74             Fighting Kentuckian, The
74             Quiet Man, The
74             Ciao Italia, Madonna Live from Italy
74             American Anthem
74             Best Friends
74             Why Me?
74             Camille
74             Fifth Floor, The
74             Meeting Venus
74             Under Capricorn
74             Act of Piracy
73             Neath Arizona Skies
73             Frontier Horizon
73             Law of Desire
73             Bang the Drum Slowly
73             Planes, Trains & Automobiles
73             Ransom
73             Mc Q
73             Six Weeks
73             Gator Bait II
73             Yesterday, Today & Tomorrow
73             Unfaithfully Yours
73             State of Things, The
73             Boom Town
73             Clan of the Cave Bear, The
73             Single Standard, The
73             Joyless Street
73             Reversal of Fortune
73             Black Rain
73             Border Street
72             Great McGonagall, The
72             Chisum
72             Bandits of Dark Canyon
72             Fire, Ice & Dynamite
72             Le Dernier Combat
72             Stage Fright
72             Driver's Seat, The
72             Indigo Autumn & Lilac Dream
72             Dirty Harry
72             Conformist, The
72             Z
72             In a Shallow Grave
72             Sands of Iwo Jima
72             Mysterious Lady, The
72             Flesh & the Devil, The
72             Hear My Song
72             Novice, The
72             Three Godfathers
72             Hearts of Darkness, A Filmmaker's Apocalypse
72             Beat Street
72             Nightbreed
72             Count of Old Town, The
71             Mon Oncle D'Amerique
71             Assault, The
71             Mysterious Mr. Wong
71             Vera Cruz
71             Baja Oklahoma
